Tech,Percentage,Date,Title
xgboost,0.02683251717760252,12-16-2019,Data Analyst
xml,0.408237582773524,12-16-2019,Data Analyst
xamarin,0.031624038102174394,12-16-2019,Data Analyst
xcode,0.01054134603405813,12-16-2019,Data Analyst
zend,0.00862473766422938,12-17-2019,Data Analyst
ios,0.2597004341117958,12-17-2019,Data Analyst
jquery,0.6976454466176654,12-17-2019,Data Analyst
mapreduce,0.3919464116299796,12-17-2019,Data Analyst
sklearn,0.022999300437945014,12-17-2019,Data Analyst
C++,1.5543693879311171,12-17-2019,Data Analyst
C#,1.4307481480771629,12-18-2019,Data Analyst
aws,1.0050251256281406,12-18-2019,Data Analyst
apache,0.25125628140703515,12-18-2019,Data Analyst
azure,0.5025125628140703,12-18-2019,Data Analyst
bigquery,1.256281407035176,12-18-2019,Data Analyst
excel,15.829145728643216,12-18-2019,Data Analyst
gcp,0.5025125628140703,12-18-2019,Data Analyst
git,0.25125628140703515,12-18-2019,Data Analyst
html,0.7537688442211055,12-18-2019,Data Analyst
hadoop,0.5025125628140703,12-18-2019,Data Analyst
hive,0.5025125628140703,12-18-2019,Data Analyst
illustrator,0.25125628140703515,12-18-2019,Data Analyst
java,2.512562814070352,12-18-2019,Data Analyst
javascript,1.256281407035176,12-18-2019,Data Analyst
microsoft,8.793969849246231,12-18-2019,Data Analyst
mongodb,0.25125628140703515,12-18-2019,Data Analyst
mysql,1.256281407035176,12-18-2019,Data Analyst
net,1.0050251256281406,12-18-2019,Data Analyst
nosql,0.5025125628140703,12-18-2019,Data Analyst
node,0.25125628140703515,12-18-2019,Data Analyst
oracle,0.7537688442211055,12-18-2019,Data Analyst
pandas,0.25125628140703515,12-18-2019,Data Analyst
photoshop,0.25125628140703515,12-18-2019,Data Analyst
postgresql,0.5025125628140703,12-18-2019,Data Analyst
powerpoint,2.7638190954773867,12-18-2019,Data Analyst
python,12.814070351758795,12-18-2019,Data Analyst
r,6.281407035175879,12-18-2019,Data Analyst
react,0.25125628140703515,12-18-2019,Data Analyst
sap,2.0100502512562812,12-18-2019,Data Analyst
sas,4.0201005025125625,12-18-2019,Data Analyst
spss,0.5025125628140703,12-18-2019,Data Analyst
sql,21.859296482412056,12-18-2019,Data Analyst
salesforce,0.7537688442211055,12-18-2019,Data Analyst
scala,0.25125628140703515,12-18-2019,Data Analyst
spark,0.5025125628140703,12-18-2019,Data Analyst
tableau,6.532663316582915,12-18-2019,Data Analyst
